PDB_Code,Actual,Predicted,Correct,Prob_HEME,Prob_FAD,Prob_Zn2,Prob_Cu1,Prob_Cofactorless
1REO,FAD,FAD,1,0.004143388,0.9653449,0.029579949,0.00023737055,0.0006944168
1E1L,FAD,FAD,1,0.0007024544,0.9983425,0.00018343494,0.00018200379,0.00058956014
1PHA,HEME,HEME,1,0.9974267,0.00026813734,0.0011418366,0.00080362806,0.00035964506
2AW1,Zn2+,Zn2+,1,1.2194773e-05,6.0134047e-05,0.9998604,9.5918185e-06,5.764187e-05
8JDY,FAD,FAD,1,0.0004538054,0.95753086,0.040876646,0.0008838142,0.00025486614
2CAL,Cu+,Cu+,1,0.00014498521,0.00015002543,0.00091012596,0.9963264,0.002468495
3ORJ,Zn2+,Cofactorless,0,0.08472698,0.06723069,0.03975692,0.012120332,0.7961651
8A1H,FAD,FAD,1,0.0030791075,0.9857533,0.00314203,0.0019786283,0.0060469303
8Z3G,FAD,FAD,1,0.00066547823,0.9966988,0.0018801842,0.00034359703,0.00041187464
4CXO,Zn2+,Cofactorless,0,0.0021342812,0.073938124,0.4200438,0.0037510314,0.5001328
5GRT,FAD,FAD,1,0.0032554388,0.99508,0.00056509196,0.00059231976,0.0005071073
7Y2E,Zn2+,Zn2+,1,2.6226036e-05,5.292437e-05,0.9998252,1.13982915e-05,8.430893e-05
1DOB,FAD,FAD,1,0.00055167667,0.9983504,6.6075896e-05,5.9287304e-05,0.0009726349
2AQJ,FAD,FAD,1,0.014108869,0.985298,0.0003657282,9.942727e-05,0.00012805196
2H2I,Zn2+,Cofactorless,0,0.19369902,0.007440285,0.03582346,0.11225043,0.6507868
1PXC,FAD,FAD,1,0.0013327068,0.9975048,8.220852e-05,5.9628343e-05,0.0010207461
1OWP,FAD,FAD,1,0.00012188673,0.9983071,8.700748e-05,7.589289e-05,0.0014080903
3NLC,FAD,FAD,1,0.0005351952,0.9970902,0.0013981662,0.00013125477,0.00084514637
3FG2,FAD,FAD,1,0.0022583671,0.992645,0.00023946265,0.00032720863,0.00452987
1JZG,Cu+,Cu+,1,0.0001094728,5.431305e-05,0.00037127244,0.99865663,0.0008083238
1E1N,FAD,FAD,1,0.0007024544,0.9983425,0.00018343494,0.00018200379,0.00058956014
1OGI,FAD,FAD,1,0.00031779218,0.9957086,0.0021297836,3.0702013e-05,0.0018131487
3DSO,Cu+,Cofactorless,0,0.0030080224,0.00017814721,0.019993365,0.0010442211,0.97577626
3QQX,Cu+,Cu+,1,0.0006093287,0.005720596,0.00802965,0.98495114,0.0006892611
1DZ0,Cu+,Cu+,1,8.683736e-05,0.000119297925,0.0002984359,0.99775404,0.0017413903
5SSZ,Cu+,Cu+,1,0.00015093684,0.0007889907,0.0023701391,0.99384284,0.00284711
1OF0,Cu+,Cu+,1,0.00037006824,0.00453105,0.010032209,0.98219925,0.0028674132
3FKG,HEME,HEME,1,0.9352653,0.0056518484,0.021131031,0.013626022,0.024325779
6RTM,FAD,FAD,1,0.0008167783,0.9968225,0.0003571624,4.677719e-05,0.0019568282
3T87,Zn2+,Zn2+,1,0.0005035601,0.0001650951,0.99680483,0.0020277794,0.0004987495
7HUX,Zn2+,Zn2+,1,0.00027844362,0.00018014191,0.99829394,0.00025128765,0.0009961796
1CRI,HEME,HEME,1,0.8747181,0.0056539364,0.03130494,0.05523477,0.033088244
4D3T,HEME,HEME,1,0.9884173,0.010405167,0.000720948,0.000100742574,0.00035580475
1DVE,HEME,HEME,1,0.83261716,0.0040773116,0.15786387,0.0006914171,0.0047502685
1DS4,HEME,HEME,1,0.9819381,0.0016047503,0.0003762565,0.00020637151,0.015874496
2E0P,Zn2+,Cofactorless,0,0.019714026,0.016932685,0.4291814,0.0014541514,0.5327177
7XJ4,Zn2+,Cofactorless,0,2.4363047e-05,7.763197e-05,0.0026706513,0.00025902086,0.9969683
3F7L,Cu+,Cofactorless,0,0.00068158924,0.0029630698,0.49257925,0.0007363737,0.5030397
1VXA,HEME,HEME,1,0.9996556,3.8596576e-05,5.745161e-05,3.3170945e-05,0.00021513362
5NQM,Cu+,Cu+,1,0.001378596,0.0004162896,0.00027542945,0.99538606,0.0025436222
3AXB,FAD,FAD,1,0.0005323988,0.56815,0.39540341,0.0040374673,0.031876747
2WEG,Zn2+,Zn2+,1,1.3525632e-05,5.7786987e-05,0.999859,8.626537e-06,6.107924e-05
3PB9,Zn2+,HEME,0,0.91935474,0.0010548186,0.057875495,0.00023285893,0.021482129
4BTE,Cu+,Cofactorless,0,0.016748516,0.08122724,0.11362836,0.20354864,0.5848473
4NVA,HEME,HEME,1,0.99963486,0.000102876926,5.726176e-05,2.5817997e-05,0.00017913946
1SOG,HEME,HEME,1,0.9717371,0.012030575,0.004848322,0.0028108356,0.008573182
1HFC,Zn2+,Zn2+,1,0.36785832,0.016715761,0.5875915,0.00721957,0.02061479
3PN5,Zn2+,Cofactorless,0,0.0043590576,0.0013844611,0.052248307,0.0069490075,0.93505913
1FUA,Zn2+,Cu+,0,0.030780613,0.022989199,0.2608479,0.6773027,0.008079586
3DJJ,FAD,FAD,1,8.7223016e-05,0.99965847,4.646671e-05,8.9110006e-05,0.00011875755
2QDW,Cu+,Cu+,1,5.117475e-05,3.2099346e-05,6.76226e-05,0.9996958,0.00015337183
8JDG,FAD,FAD,1,0.00031297887,0.9966356,0.0018149528,0.0010641937,0.00017228398
3M8M,HEME,HEME,1,0.99243987,0.0008461258,0.0046422896,0.0008582824,0.0012134002
1GWU,HEME,HEME,1,0.99668413,0.0018318604,0.00040331882,0.000388644,0.00069209747
1DOE,FAD,FAD,1,0.00023416667,0.99906737,8.327498e-05,4.9837803e-05,0.0005654075
1BEK,HEME,HEME,1,0.9987263,0.00017786976,5.5538203e-05,3.4338682e-05,0.0010059499
7VFR,Zn2+,FAD,0,0.012661475,0.9677917,0.00064513006,0.0010252865,0.017876409
5XXI,HEME,HEME,1,0.993686,0.005654009,0.00027718797,0.00010010412,0.00028265905
1OWN,FAD,FAD,1,0.00020518286,0.9994524,8.2678795e-05,7.283267e-05,0.00018691753
2WHZ,Zn2+,Zn2+,1,0.00044687802,0.00016931453,0.9969068,0.0019896282,0.00048733898
7O2S,Zn2+,Zn2+,1,0.011458038,0.010703172,0.956551,0.012952351,0.008335408
2JCW,Cu+,Zn2+,0,0.00030123198,0.0008318925,0.98002243,0.018066822,0.00077761547
8K41,FAD,FAD,1,0.0029296188,0.9968207,6.414939e-05,5.7134603e-05,0.00012843325
6GEQ,HEME,HEME,1,0.9996797,0.00026483982,2.6938156e-05,1.92898e-05,9.318637e-06
1BES,HEME,HEME,1,0.9983523,0.0003063684,0.00014628924,6.186212e-05,0.0011332319
1E63,FAD,FAD,1,0.0001490947,0.99842995,0.0006200069,1.24637745e-05,0.0007884398
5NQO,Cu+,Cu+,1,0.00072300277,0.00025861786,0.00015296147,0.9975859,0.0012795782
8FDJ,HEME,HEME,1,0.99962115,3.2841126e-05,0.00010485264,3.314539e-05,0.00020798139
4DP8,Cu+,Cu+,1,2.4764564e-05,5.9064955e-06,8.578707e-05,0.99976486,0.00011866489
2BLI,HEME,HEME,1,0.998444,0.00033555098,0.00064469763,5.909776e-05,0.0005166994
1H5H,HEME,HEME,1,0.9974929,0.001440106,0.00031088866,0.00019760286,0.0005585538
4P5S,Cu+,Cu+,1,0.0010227314,0.0010235184,0.002408969,0.98975545,0.005789275
6YRZ,FAD,FAD,1,0.0031937112,0.98571336,0.0026824954,0.0065302392,0.0018802175
2J19,HEME,HEME,1,0.9769911,0.0025983728,0.004404463,0.013055643,0.0029504222
1HAW,Cu+,Zn2+,0,0.0019158932,0.0031394481,0.9929576,0.0010458517,0.0009412575
1TJ1,FAD,FAD,1,0.042044993,0.7263509,0.0053982986,0.00019362412,0.22601216
5KD1,HEME,HEME,1,0.9993505,6.465682e-05,0.00022816705,3.726551e-05,0.0003194175
9DTK,FAD,FAD,1,0.0018970035,0.9781617,0.0006599591,0.0033754846,0.015905902
1QNF,FAD,FAD,1,0.00020518286,0.9994524,8.2678795e-05,7.283267e-05,0.00018691753
3TGE,Zn2+,Zn2+,1,0.028459271,0.0022804097,0.94909215,0.007629868,0.012538259
3OY0,Zn2+,Zn2+,1,1.0488307e-05,3.5538545e-05,0.99987555,1.1227753e-05,6.7160734e-05
1CCC,HEME,HEME,1,0.9988796,0.00027198077,0.00014765664,3.6434412e-05,0.00066427025
1MKR,HEME,HEME,1,0.97002655,0.0069920043,0.0028697208,0.0011964146,0.018915312
1YYD,HEME,HEME,1,0.98457474,0.001726396,0.0094719175,0.0017511997,0.0024757658
6CLD,Zn2+,Cofactorless,0,0.009329202,0.0064640474,0.01635546,0.059899386,0.90795195
5NYA,Zn2+,Zn2+,1,2.8557235e-05,5.212285e-05,0.99980825,1.6309095e-05,9.4815776e-05
4DEF,Zn2+,Zn2+,1,0.0027662623,0.017792627,0.89631176,0.037754618,0.045374684
6HQM,HEME,HEME,1,0.94412434,0.047584534,0.0031545765,0.0028395616,0.0022970254
7C4N,FAD,Cofactorless,0,0.0051556937,0.35638377,0.08732369,0.0025751207,0.54856175
6QVH,Cu+,Cu+,1,0.0017400262,0.001061485,0.0009663669,0.9948872,0.0013449946
2B5W,Zn2+,FAD,0,0.2755054,0.6157483,0.09592356,0.008527464,0.0042953147
5KOW,FAD,FAD,1,0.003351579,0.993024,0.002221314,0.00027681608,0.0011262447
1HKK,Zn2+,Zn2+,1,0.027583437,0.3655469,0.47529593,0.09031297,0.041260738
1G4J,Zn2+,Zn2+,1,1.1800556e-05,5.1852483e-05,0.9998566,9.730796e-06,6.997159e-05
2ACP,HEME,HEME,1,0.9947161,0.00021545,0.0015375192,0.00023244502,0.0032984698
3GYJ,FAD,FAD,1,0.00039725468,0.9985311,0.00041014486,0.00040660086,0.00025482947
3COX,FAD,FAD,1,5.9398433e-05,0.99701226,0.0016022879,0.0004399905,0.0008861067
3I9Z,Cu+,Cu+,1,0.012056474,0.0022683416,0.13105145,0.8287621,0.025861682
8Z26,FAD,FAD,1,0.0003905952,0.9986181,0.00051519467,0.00015070675,0.00032531706
8CCL,FAD,FAD,1,0.0032354863,0.9961857,0.00032691125,0.000122053,0.0001298155
6L9S,Cu+,Cu+,1,0.06837454,0.0004329005,0.002253101,0.86823124,0.06070824
2IDU,Cu+,Cu+,1,0.0004279085,0.00011769088,0.00019706695,0.9987287,0.0005286399
2E88,Zn2+,Zn2+,1,0.01758619,0.20558949,0.56734324,0.09334758,0.11613354
7G3R,Zn2+,Zn2+,1,4.046048e-05,9.601481e-05,0.9997243,7.9317026e-05,5.986752e-05
3F7K,Cu+,Cu+,1,0.0021203663,0.0007952162,0.36911952,0.62609833,0.0018665639
7VJ0,FAD,FAD,1,0.00023182888,0.9982768,0.0004017084,0.00045872713,0.0006309634
2BAB,FAD,FAD,1,0.0061733765,0.93461645,0.053805698,0.0035113906,0.0018930495
1RJU,Cu+,Cofactorless,0,0.0037274505,0.0024996512,0.045509852,0.035629105,0.91263396
5KBK,Cu+,Cu+,1,0.00033443514,4.4406323e-05,0.0007711741,0.99798065,0.00086935447
4TM7,Cu+,Cofactorless,0,0.039608512,0.05793604,0.33032984,0.010434451,0.56169116
1E39,FAD,FAD,1,0.0008003498,0.9932319,0.0055102087,0.00019240845,0.0002651241
5SSY,Cu+,Cu+,1,0.00015093684,0.0007889907,0.0023701391,0.99384284,0.00284711
5NQN,Cu+,Cu+,1,0.0007255516,0.00026026217,0.00014537155,0.99760085,0.0012679279
5KBM,Cu+,Cu+,1,0.0137926005,0.00022269864,0.011103296,0.9735685,0.0013129519
5U5U,HEME,HEME,1,0.9996511,9.657077e-05,5.8833626e-05,2.5226635e-05,0.00016824486
6R01,Cu+,Cu+,1,0.004904889,0.0011355311,0.0013101288,0.9905003,0.0021492136
3EF6,FAD,FAD,1,0.07260036,0.76982486,0.05705942,0.02158151,0.07893387
2H6S,Zn2+,Zn2+,1,0.057285544,0.008342879,0.73458165,0.0008036466,0.1989863
6V4V,Zn2+,Cofactorless,0,0.0005496784,0.00013322505,0.03574535,0.03912522,0.9244465
1Z1N,Zn2+,Zn2+,1,0.0057950765,0.06278582,0.80196106,0.0364922,0.09296587
5SSX,Cu+,Cu+,1,0.001717969,0.020548915,0.17264968,0.5185703,0.28651315
9GN5,FAD,Cofactorless,0,0.0009786737,0.00053282303,0.002762082,0.00046554074,0.9952609
6ICI,FAD,FAD,1,0.018352063,0.5312888,0.006599132,0.0013253876,0.4424346
3RTT,Zn2+,Zn2+,1,0.0017095994,0.0031865044,0.98489887,0.005734064,0.0044709863
1A3Z,Cu+,Cu+,1,0.00040142768,0.0003338592,0.0035661948,0.9899156,0.005782894
2XMW,Cu+,Cofactorless,0,0.011386426,0.0022709265,0.050907664,0.006124512,0.9293105
6LD1,Zn2+,Zn2+,1,0.003674466,0.011907091,0.9779769,0.0007957639,0.005645688
4N3T,Cu+,Cu+,1,0.0015763467,0.00021561242,0.0023128295,0.9931513,0.002743875
1IRC,HEME,HEME,1,0.9996841,2.6719106e-05,7.859716e-05,2.1734375e-05,0.0001888381
1H71,Zn2+,Zn2+,1,0.005587329,0.0053597093,0.6555243,0.12956469,0.20396395
5CMV,HEME,HEME,1,0.9994412,3.96843e-05,0.00024347608,3.972485e-05,0.0002358654
6HQK,HEME,HEME,1,0.99384004,0.004856218,0.0007517288,0.0004050192,0.0001470799
1UX8,HEME,HEME,1,0.9233276,0.015751092,0.009093127,0.0018769919,0.04995114
6LD4,Zn2+,Zn2+,1,0.003674466,0.011907091,0.9779769,0.0007957639,0.005645688
2XRY,FAD,FAD,1,0.00023182888,0.9982768,0.0004017084,0.00045872713,0.0006309634
7Z0N,Zn2+,Zn2+,1,0.00012601526,0.00020340692,0.9992586,0.00024024014,0.00017170007
7HVJ,Zn2+,Zn2+,1,0.0002875206,0.00018419928,0.9983065,0.00025694622,0.0009648325
3QFS,FAD,FAD,1,0.040168583,0.4089552,0.2887163,0.023085544,0.23907438
7G68,Zn2+,Zn2+,1,4.046048e-05,9.601481e-05,0.9997243,7.9317026e-05,5.986752e-05
6BD7,HEME,HEME,1,0.99719244,0.0015409162,0.00071218156,3.2491815e-05,0.00052194606
4NVG,HEME,HEME,1,0.99963486,0.000102876926,5.726176e-05,2.5817997e-05,0.00017913946
4RM4,HEME,HEME,1,0.94123685,0.0007711067,0.0031322183,0.0026873078,0.05217253
7JOB,Zn2+,Zn2+,1,2.1558773e-05,6.41189e-05,0.9998078,1.4889029e-05,9.170481e-05
1DOC,FAD,FAD,1,0.00023416667,0.99906737,8.327498e-05,4.9837803e-05,0.0005654075
9F1Y,FAD,Cofactorless,0,0.008487209,0.00070645503,0.00082623685,0.0007676666,0.9892124
5HLQ,HEME,HEME,1,0.9993474,5.7365418e-05,0.00014207137,4.0000068e-05,0.00041315472
6YHE,Zn2+,Zn2+,1,0.00013695634,0.00092512515,0.9983876,6.598862e-05,0.0004843513
7YHD,Zn2+,Zn2+,1,0.0017709231,0.0006855569,0.96834654,0.010956528,0.01824047
1C53,HEME,HEME,1,0.76092726,0.017883291,0.092317194,0.015712826,0.11315946
5ARN,Cu+,Cu+,1,0.0007255516,0.00026026217,0.00014537155,0.99760085,0.0012679279
1SF3,Cu+,Cu+,1,8.372861e-05,8.1427606e-05,6.6584886e-05,0.9995596,0.00020869156
2CYM,HEME,Cu+,0,0.051214222,0.006741988,0.11643652,0.81367695,0.01193036
7RT0,FAD,FAD,1,0.0010258753,0.99721175,0.00013541243,8.545423e-05,0.0015415266
4DPA,Cu+,Cu+,1,3.6138445e-05,9.2789605e-06,9.072312e-05,0.9996662,0.000197663
2CCW,Cu+,Cu+,1,8.683736e-05,0.000119297925,0.0002984359,0.99775404,0.0017413903
1PHH,FAD,FAD,1,0.00059706,0.9985424,7.927178e-05,6.3799765e-05,0.00071749976
4G8U,HEME,HEME,1,0.96767867,0.00093419757,0.004336419,0.0001308389,0.026919829
2XV0,Cu+,Cu+,1,5.6774516e-05,4.1402145e-05,0.00011255514,0.99905103,0.00073823036
8X38,FAD,FAD,1,0.03307592,0.9507082,0.009715467,0.00017537753,0.006325045
1UUY,Cu+,Cu+,1,0.025539296,0.07025216,0.057144705,0.70096,0.1461039
4F2F,Cu+,Cofactorless,0,0.4194102,0.055816866,0.0830064,0.011868954,0.42989755
4ZDY,HEME,HEME,1,0.9998616,5.8162936e-05,5.496373e-05,5.7832317e-06,1.9464445e-05
1JIN,HEME,HEME,1,0.9991078,0.00063555926,4.4591758e-05,1.4663854e-05,0.00019738349
2BZC,Cu+,Cu+,1,8.354383e-05,2.0029076e-05,0.00010284115,0.99790925,0.0018842771
5JCK,FAD,FAD,1,0.00060033007,0.99064153,0.00022711718,0.00028563754,0.008245334
6PJV,Zn2+,Zn2+,1,0.0091112545,0.0009074777,0.9649706,0.012941778,0.012068886
3KZZ,Zn2+,Zn2+,1,0.24924032,0.024176471,0.4942686,0.014872854,0.21744174
2O6X,Cofactorless,Cofactorless,1,0.004405285,0.12215272,0.034045257,0.12115289,0.7182439
3VSR,Cofactorless,Zn2+,0,0.016170336,0.09255119,0.8522138,0.026741149,0.012323492
6AO9,Cofactorless,Cofactorless,1,0.015463225,0.0011505575,0.22009107,0.012737121,0.750558
1YU7,Cofactorless,Cofactorless,1,0.004042821,0.00017580643,0.0004683294,0.00020879024,0.9951042
1BFG,Cofactorless,Cofactorless,1,0.028585836,0.000473247,0.0036369292,0.00025738718,0.9670466
1XAA,Cofactorless,Cofactorless,1,0.032798234,0.3880699,0.055219848,0.03395694,0.48995507
7Y5J,Cofactorless,Cofactorless,1,0.0024181288,0.00018652227,0.0040679704,0.0064677927,0.98685956
1YRV,Cofactorless,Cofactorless,1,0.0020157981,0.0015183717,0.030413285,0.0033467265,0.9627058
3PTW,Cofactorless,Zn2+,0,0.0047644516,0.47925842,0.4828401,0.0108073,0.022329753
1HEP,Cofactorless,Cofactorless,1,0.00044626775,0.00011545273,0.00012926308,0.0001888351,0.9991202
2FGT,Cofactorless,Cofactorless,1,0.00047467762,0.008978535,0.012463519,0.012185878,0.9658974
5NJM,Cofactorless,Cofactorless,1,0.00029454264,8.502849e-05,0.00010078104,0.00010864001,0.999411
1SZT,Cofactorless,Zn2+,0,0.020716395,0.026111882,0.5560452,0.01372675,0.3833998
1UIA,Cofactorless,Cofactorless,1,0.00046692157,0.00010002607,0.00012421596,0.00011389831,0.9991949
132L,Cofactorless,Cofactorless,1,0.00029454264,8.502849e-05,0.00010078104,0.00010864001,0.999411
4WFU,Cofactorless,Zn2+,0,0.012116947,0.00019730155,0.8082172,0.002638242,0.17683029
2WLW,Cofactorless,HEME,0,0.6886374,0.033881817,0.09394511,0.1790605,0.0044751894
1QTO,Cofactorless,Cu+,0,0.029573685,0.011131863,0.009242643,0.88753575,0.06251604
4TTP,Cofactorless,Cofactorless,1,0.28189704,0.019522283,0.090155356,0.0012626852,0.60716265
5RCS,Cofactorless,Cofactorless,1,0.0007450494,0.0005853902,0.001564687,0.00056385377,0.99654096
3NPO,Cofactorless,Cofactorless,1,0.0028579198,0.00028614805,0.0041440683,0.001809253,0.9909026
1MJZ,Cofactorless,Cofactorless,1,0.0035374528,0.0013320239,0.088861234,0.026707845,0.8795614
6VV4,Cofactorless,Cofactorless,1,0.018976646,0.15798451,0.0129510155,0.0015615763,0.8085263
6F4M,Cofactorless,Zn2+,0,0.16459814,0.085526384,0.64758617,0.001422623,0.100866675
3ASD,Cofactorless,Cofactorless,1,0.13800292,0.0012639486,0.010602798,0.012390372,0.83774
3O7K,Cofactorless,HEME,0,0.8737772,0.005596639,0.00023721525,0.0004549521,0.11993395
5P1Q,Cofactorless,Cofactorless,1,0.00036364642,0.00044524012,0.0010710979,0.00015195529,0.997968
4WJ1,Cofactorless,FAD,0,0.025211629,0.7077583,0.0048676184,0.0025061837,0.25965622
3RLE,Cofactorless,Zn2+,0,0.00038419996,0.0004038148,0.98811126,0.0019311927,0.0091695655
7W8U,Cofactorless,Cofactorless,1,0.02788508,0.025267791,0.4477677,0.025328116,0.47375134
3V75,Cofactorless,Cofactorless,1,0.0010686925,0.002762295,0.0054017548,0.010706671,0.9800606
3ZPJ,Cofactorless,Cofactorless,1,0.03332191,0.0007931597,0.0066509102,0.0005091251,0.9587249
1FQI,Cofactorless,Cofactorless,1,0.0033166523,0.0065435595,0.014721326,0.0011102678,0.97430813
1W7B,Cofactorless,Cofactorless,1,0.0034893507,0.00078994886,0.00521657,0.00014522651,0.9903589
2TMY,Cofactorless,Cu+,0,0.0038437708,0.005631515,0.016444214,0.9006897,0.07339079
5R2I,Cofactorless,Cofactorless,1,0.0007450494,0.0005853902,0.001564687,0.00056385377,0.99654096
1KAB,Cofactorless,Cofactorless,1,0.03177169,0.00710987,0.014180786,0.13006626,0.81687135
7ID0,Cofactorless,Cofactorless,1,0.00021472981,0.00026481805,0.0031062118,0.00039196023,0.9960223
4WEI,Cofactorless,Cofactorless,1,0.010009765,0.3687657,0.00465883,0.0012419069,0.6153238
5P7D,Cofactorless,Cofactorless,1,0.00036364642,0.00044524012,0.0010710979,0.00015195529,0.997968
1PEN,Cofactorless,Cofactorless,1,0.022406112,0.019663196,0.05129451,0.061695132,0.8449411
4G14,Cofactorless,Cofactorless,1,0.02816245,0.044194087,0.046120234,0.009729569,0.8717937
6CB6,Cofactorless,Cofactorless,1,0.08603096,0.0029328433,0.12524906,0.30330753,0.48247963
1GVL,Cofactorless,Zn2+,0,0.004310791,0.017912157,0.9532429,0.01519204,0.009342173
6RU3,Cofactorless,Cofactorless,1,0.025537902,0.0041576093,0.009377913,0.00088613393,0.96004045
7IEG,Cofactorless,Cofactorless,1,0.00019323122,0.00022999114,0.002660086,0.00043411687,0.9964826
1WKA,Cofactorless,Cofactorless,1,0.021564974,0.009207899,0.052843764,0.08059226,0.8357911
3JSN,Cofactorless,Cofactorless,1,0.031599745,0.0006005741,0.0017308753,0.0020229248,0.96404594
4P9L,Cofactorless,Cofactorless,1,0.006451434,0.0146612385,0.01132553,0.099006526,0.86855525
1SNQ,Cofactorless,Cofactorless,1,0.00040581505,3.4209657e-05,0.00015911084,0.00022146293,0.9991794
2Y7N,Cofactorless,Cofactorless,1,0.00011672366,0.00016942072,0.0001554379,0.0025123383,0.99704605
6J6E,Cofactorless,Cofactorless,1,0.33269665,0.008760024,0.048195917,0.007014377,0.603333
1HE9,Cofactorless,HEME,0,0.65331924,0.009225974,0.0037075318,0.0079338895,0.32581338
6K5M,Cofactorless,Cofactorless,1,0.0071578543,0.0026381062,0.0044799563,0.0017104632,0.9840136
5ZO0,Cofactorless,Zn2+,0,0.025919389,0.046022806,0.87013376,0.005602102,0.05232194
3H2G,Cofactorless,FAD,0,0.07115058,0.7611437,0.1466614,0.014928037,0.0061163316
2BQQ,Cofactorless,Cofactorless,1,0.013780199,0.00023311471,0.005066895,0.0040219747,0.97689784
8C9L,Cofactorless,Cofactorless,1,0.0077034747,0.021530224,0.27908048,0.028187405,0.6634984
6JUI,Cofactorless,Cofactorless,1,0.00064303144,0.0016790465,0.001274535,0.0020041843,0.99439913
4OEF,Cofactorless,Cofactorless,1,0.077726014,0.0032148063,0.004237523,0.0009341234,0.91388756
3OUV,Cofactorless,Cofactorless,1,0.0030128746,0.004694615,0.058815844,0.096337125,0.83713955
4QRZ,Cofactorless,Cofactorless,1,0.00027380176,0.008582421,0.0021357231,0.0006323218,0.9883758
1QG5,Cofactorless,Cofactorless,1,0.0010168095,0.00014424107,0.001115627,0.00076649815,0.9969568
3ZM2,Cofactorless,Cofactorless,1,0.0011813539,0.002701638,0.15982725,0.015571954,0.82071775
1FHG,Cofactorless,Cofactorless,1,0.0013100276,0.011704237,0.008200645,0.046394024,0.9323911
4G2E,Cofactorless,Cofactorless,1,0.0008795195,0.0002352243,0.001267919,0.0018637247,0.99575365
3RFY,Cofactorless,Cofactorless,1,0.01210861,0.006813796,0.02623485,0.002672927,0.9521699
4PMD,Cofactorless,Zn2+,0,0.0005480284,0.001521405,0.9532271,0.0022549503,0.042448584
9L1R,Cofactorless,Zn2+,0,0.00014317987,0.0002962036,0.63752496,0.00021867258,0.36181697
1KWB,Cofactorless,Zn2+,0,0.2541944,0.27874187,0.37635595,0.0133482,0.07735962
5YDN,Cofactorless,Cofactorless,1,0.005018126,0.006114093,0.010787822,0.03937384,0.9387061
